time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010451350000	9.59279	20.9148	4.81699	-2.96682	0.484159	radar	2.47268	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.38925	20.8644	4.78113	-2.93919	0.489282	lidar	1.22221	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.16271	20.825	4.77381	-2.91866	0.485637	radar	1.5292	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.88689	20.7879	4.82097	-2.90361	0.474184	lidar	1.93544	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.66665	20.7105	4.80883	-2.87115	0.485576	radar	4.4765	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40267	20.6235	4.84601	-2.84168	0.489543	lidar	2.69518	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.17409	20.5437	4.84692	-2.813	0.496824	radar	0.0883957	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.93506	20.463	4.8585	-2.7892	0.495317	lidar	0.137905	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71813	20.377	4.85654	-2.75691	0.51334	radar	3.48463	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.42902	20.3164	4.92087	-2.75046	0.490863	lidar	3.8376	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.20075	20.2186	4.92147	-2.72716	0.487321	radar	0.230304	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.942	20.1365	4.95424	-2.71427	0.47411	lidar	1.05979	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.71893	20.0437	4.94702	-2.69748	0.463397	radar	0.428808	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.47168	19.9539	4.96871	-2.68463	0.451821	lidar	0.604461	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.25561	19.8594	4.95857	-2.66727	0.447082	radar	2.72661	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.99666	19.7674	4.99294	-2.65933	0.43084	lidar	1.29891	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.77638	19.6207	5.01332	-2.61942	0.461668	radar	2.17612	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.58364	19.5012	4.98728	-2.59528	0.463603	lidar	0.892041	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.38358	19.3514	4.98506	-2.56184	0.477538	radar	1.68437	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.16421	19.2516	4.98319	-2.55361	0.461152	lidar	1.89729	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.96634	19.1392	4.95463	-2.54514	0.437072	radar	4.47408	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
